price_today,price_next_day,prediction,capital,profit
63778.76171875,64062.203125,1,3.8675491213270833e-13,1.9013179694722602e-15
64062.203125,67234.171875,0,3.070060492509439e-13,-6.96158841838875e-15
67234.171875,69958.8125,0,2.437014018953993e-13,-5.526108886516991e-15
69958.8125,69987.8359375,0,1.9731624202901468e-13,-9.099278473196144e-17
69987.8359375,69455.34375,0,1.6104216991664582e-13,1.3511265257154676e-15
69455.34375,70744.953125,0,1.280221408442237e-13,-2.6911297647326736e-15
70744.953125,69892.828125,0,1.0494697868951973e-13,1.3878273396650258e-15
69892.828125,69645.3046875,0,8.530810276710546e-14,3.345000317716397e-16
69645.3046875,71333.6484375,0,6.771757197652833e-14,-1.5355458498078986e-15
71333.6484375,69702.1484375,0,5.6105757485447255e-14,1.3939157605103446e-15
69702.1484375,65446.97265625,0,4.77179467413729e-14,2.524759086845127e-15
65446.97265625,65980.8125,1,3.896681088405916e-14,3.503044706078914e-16
65980.8125,68508.84375,1,3.2772446356527734e-14,1.343699489377575e-15
68508.84375,67837.640625,1,2.62856049888061e-14,-2.889739555348524e-16
67837.640625,68896.109375,1,2.162354820547583e-14,3.6912018282543e-16
68896.109375,69362.5546875,0,1.7396492253339064e-14,-1.3175754788484076e-16
69362.5546875,71631.359375,1,1.4552071491640164e-14,5.121252960394691e-16
71631.359375,69139.015625,1,1.1551434350063963e-14,-2.6193728684952297e-16
69139.015625,70587.8828125,0,9.169528587080774e-15,-2.0792581830115136e-16
70587.8828125,70060.609375,1,7.371837987846055e-15,-6.164463076597023e-17
70060.609375,67195.8671875,0,6.215347599660064e-15,2.7128758833862107e-16
67195.8671875,63821.47265625,1,4.933742924610159e-15,-1.1187625679388115e-16
63821.47265625,65738.7265625,1,4.116385136175195e-15,1.3339263026774124e-16
65738.7265625,63426.2109375,1,3.26758652109587e-15,-7.409493245115351e-17
63426.2109375,63811.86328125,0,2.630651996451155e-15,-1.7881206262777598e-17
63811.86328125,61276.69140625,0,2.2154834654450154e-15,9.406149813286622e-17
61276.69140625,63512.75390625,1,1.8600266568726124e-15,7.276116651349951e-17
63512.75390625,63843.5703125,0,1.498774110891588e-15,-8.719423528031323e-18
63843.5703125,64994.44140625,0,1.1921228276794673e-15,-2.4315780158576753e-17
64994.44140625,64926.64453125,0,9.666267455405473e-16,1.1191723557540016e-18
64926.64453125,66837.6796875,0,7.673083106100864e-16,-1.7399281419729852e-17
66837.6796875,66407.2734375,0,6.255220545088369e-16,4.447025460741093e-18
66407.2734375,64276.8984375,0,5.229271559954159e-16,1.8060324270286555e-17
64276.8984375,64481.70703125,1,4.249206411310946e-16,1.4996053053418957e-18
64481.70703125,63755.3203125,0,3.480629729871158e-16,4.3080596343657435e-18
63755.3203125,63419.140625,0,2.834176209660153e-16,1.6517920516128152e-18
63419.140625,63113.23046875,0,2.306756242579078e-16,1.2303903060393342e-18
63113.23046875,63841.12109375,0,1.8469232926209712e-16,-2.394362652009108e-18
63841.12109375,60636.85546875,0,1.570808260374136e-16,8.31115481679437e-18
60636.85546875,58254.01171875,0,1.322354355291386e-16,5.5555182653706275e-18
58254.01171875,59123.43359375,1,1.0870929462309091e-16,1.7762131605429464e-18
